TEAM,ISOLATION FREQ,ISOLATION PERCENTILE,TRANSITION FREQ,TRANSITION PERCENTILE,PICKNROLL(ball-handler) FREQ,PICKNROLL(ball-handler) PERCENTILE,POSTUP FREQ,POSTUP PERCENTILE,SPOT UP FREQ,SPOT UP PERCENTILE,SPOT UP POSS,SPOT UP FREQ,HANDOFF FREQ,HANDOFF PERCENTILE,CUT FREQ,CUT PERCENTILE,OFFSCREEN FREQ,OFFSCREEN PERCENTILE,PICKNROLL(role-man) FREQ,PICKNROLL(role-man) PERCENTILE
Atlanta Hawks,4.9,51.7,13.2,69,22.3,79.3,4.6,27.6,22.5,72.4,24.8,22.5,3.4,0,6.9,20.7,3.2,75.9,6.9,100
Boston Celtics,7.8,20.7,14.1,96.6,19.1,75.9,4.2,48.3,22,75.9,24.4,22,5.4,44.8,6.3,58.6,4.5,48.3,5.3,17.2
Brooklyn Nets,9.9,96.6,15.9,93.1,15.4,51.7,2.4,100,21.6,96.6,23.8,21.6,5.3,96.6,8.7,75.9,5.1,58.6,5.6,89.7
Charlotte Hornets,5.3,93.1,18.4,64.3,15,13.8,2.4,3.4,25.8,44.8,28.7,25.8,5.1,72.4,7.1,3.4,4.5,6.9,6.6,13.8
Chicago Bulls,4.1,62.1,12.7,58.6,18.2,69,5.4,89.7,24.4,27.6,26.9,24.4,5.1,13.8,8.2,100,3.5,24.1,8.2,0
Cleveland Cavaliers,5.8,0,14,48.3,18.4,6.9,4.7,6.9,21.5,0,23.7,21.5,4.9,37.9,9,17.2,3.8,34.5,5.8,65.5
Dallas Mavericks,6.2,82.8,12.3,13.8,21.8,93.1,4.8,93.1,24.4,62.1,26.3,24.4,5,69,5.1,55.2,4.3,89.7,6.8,86.2
Denver Nuggets,5.7,69,14.1,79.3,13,44.8,7.8,72.4,21,79.3,23.1,21,6.1,65.5,8.9,72.4,3.9,31,7.1,41.4
Detroit Pistons,5.5,3.4,14.4,64.3,16.4,10.3,4.8,41.4,24.3,6.9,26.7,24.3,6.9,51.7,7,79.3,5.5,44.8,5,62.1
Golden State Warriors,5,58.6,16.5,72.4,14.8,86.2,3.2,10.3,22.8,20.7,25.4,22.8,7,93.1,8.8,62.1,8,79.3,3.5,55.2
Houston Rockets,7.8,37.9,16.9,6.9,16.2,34.5,3.1,34.5,26.3,10.3,29.5,26.3,4.2,34.5,5.4,86.2,3.3,17.2,6.6,69
Indiana Pacers,4.7,24.1,18.7,51.7,15.4,62.1,3.9,13.8,22.5,48.3,25.4,22.5,7.5,48.3,7.6,93.1,4.1,69,5.3,27.6
LA Clippers,8.1,72.4,12.9,10.3,19.8,72.4,6.3,79.3,23.7,100,25.5,23.7,3.4,10.3,5.5,96.6,4.4,82.8,5.6,58.6
Los Angeles Lakers,7.9,13.8,15.4,75.9,15,24.1,8.5,51.7,21.3,34.5,23.5,21.3,4.3,6.9,7.5,82.8,3.8,37.9,5.8,51.7
Memphis Grizzlies,4.1,65.5,18.1,31,20.3,17.2,3.9,69,22.9,41.4,26.1,22.9,5.2,27.6,6.3,6.9,3.9,0,5.1,79.3
Miami Heat,4.7,44.8,14.9,86.2,16.9,27.6,3.4,65.5,22.5,65.5,23.9,22.5,7.8,75.9,9.4,24.1,4.7,100,5.5,96.6
Milwaukee Bucks,8.6,86.2,19.4,17.2,14.5,82.8,6.7,62.1,19.8,86.2,22.6,19.8,4.5,100,6.9,65.5,3.8,62.1,6.1,72.4
Minnesota Timberwolves,5.3,34.5,15,20.7,16.4,0,4.6,17.2,24,17.2,27.4,24,6.2,41.4,7.5,41.4,4.6,27.6,5.7,48.3
New Orleans Pelicans,5.3,48.3,16.3,55.2,17.8,48.3,4.2,75.9,23.5,37.9,26.9,23.5,5.9,31,7.9,44.8,2.6,41.4,4.5,24.1
New York Knicks,8.5,55.2,11.9,27.6,22.3,41.4,4.8,58.6,24.6,69,26.4,24.6,4.3,55.2,5.6,0,2.9,3.4,5.1,44.8
Oklahoma City Thunder,7.1,27.6,16.1,0,19,31,2.4,31,26.9,3.4,30.3,26.9,4.8,3.4,5.2,37.9,2.2,86.2,6.1,6.9
Orlando Magic,4.1,10.3,13.2,3.4,21.8,3.4,5.5,20.7,21.4,13.8,23.6,21.4,6,82.1,5.4,13.8,5.4,10.3,6.7,31
Philadelphia 76ers,5.3,79.3,16.5,41.4,17.2,58.6,10.2,96.6,22,55.2,24.5,22,4.9,82.1,4.9,34.5,2.2,20.7,4.9,37.9
Phoenix Suns,6,75.9,15.9,89.7,17.4,89.7,5.8,55.2,24.7,82.8,26.7,24.7,3.9,20.7,6.8,89.7,5,51.7,5.9,82.8
Portland Trail Blazers,10.2,100,11.8,24.1,20.5,100,5.5,37.9,19.1,89.7,21.2,19.1,5.3,86.2,5.8,10.3,4.1,72.4,6.1,34.5
Sacramento Kings,5.2,41.4,16.1,100,20,65.5,3.7,44.8,21.1,58.6,23.4,21.1,4,24.1,7.1,27.6,3.9,13.8,8.7,75.9
San Antonio Spurs,5.2,89.7,13.3,44.8,22.2,37.9,3.4,82.8,26.9,24.1,29.8,26.9,4.7,58.6,5.8,69,3.5,93.1,6.2,3.4
Toronto Raptors,6.1,31,18.6,37.9,17.1,55.2,2.8,0,23.7,51.7,26.2,23.7,4.7,89.7,6.1,31,4.6,55.2,6.4,10.3
Utah Jazz,5.3,17.2,15.3,34.5,22.4,96.6,1.9,24.1,23.7,93.1,26.3,23.7,5.1,17.2,5.7,48.3,4.6,65.5,6.6,93.1
Washington Wizards,8.4,6.9,18.9,82.8,14.7,20.7,5.7,86.2,19.6,31,22.7,19.6,3.6,62.1,8.7,51.7,5,96.6,4.8,20.7