TEAM,OFFRTG,DEFRTG,WIN PERCENTAGE,ACTIVE CAP,ACTIVE CAP( TOP 3)
Atlanta Hawks,114.3,112.10,0.57,115950371.00,55000000.00
Boston Celtics,113.1,111.80,0.50,127473888.00,75266600.00
Brooklyn Nets,117.3,113.10,0.67,164541070.00,115086720.00
Charlotte Hornets,110.1,112.00,0.46,98277101.00,62815730.00
Chicago Bulls,110.4,111.50,0.43,127968089.00,59045000.00
Cleveland Cavaliers,105.2,113.50,0.31,95788697.00,55217347.00
Dallas Mavericks,114.6,112.30,0.58,124194840.00,61456500.00
Denver Nuggets,116.3,111.50,0.65,126468408.00,74963374.00
Detroit Pistons,107.6,112.20,0.28,76325187.00,39650000.00
Golden State Warriors,110.5,109.40,0.54,168454133.00,107909732.00
Houston Rockets,107,114.40,0.24,121883222.00,71140070.00
Indiana Pacers,111.9,111.90,0.47,125044311.00,58500000.00
LA Clippers,116.7,110.60,0.65,137010779.00,84713233.00
Los Angeles Lakers,109.8,106.80,0.58,129324500.00,87961566.00
Memphis Grizzlies,111.7,110.50,0.53,96358089.00,39400000.00
Miami Heat,110.6,110.70,0.56,126766607.00,73379100.00
Milwaukee Bucks,116.5,110.70,0.64,126409299.00,87605923.00
Minnesota Timberwolves,109.3,114.50,0.32,128979723.00,75117050.00
New Orleans Pelicans,113,113.30,0.43,131561774.00,73752695.00
New York Knicks,110.2,107.80,0.57,81511334.00,36704687.00
Oklahoma City Thunder,102.8,113.40,0.31,58973451.00,35511690.00
Orlando Magic,104.6,113.90,0.29,109369134.00,61149952.00
Philadelphia 76ers,112.5,107.00,0.68,144302328.00,94460060.00
Phoenix Suns,116.3,110.40,0.71,126329911.00,80844814.00
Portland Trail Blazers,117.1,115.30,0.58,125356909.00,73869994.00
Sacramento Kings,112.7,116.50,0.43,93805708.00,56187760.00
San Antonio Spurs,110.5,112.00,0.46,103942196.00,56525975.00
Toronto Raptors,111.6,112.00,0.38,121179805.00,82309200.00
Utah Jazz,116.5,107.50,0.72,135162144.00,79877413.00
Washington Wizards,110.7,112.30,0.47,125335449.00,85110588.00