TEAM,TOUCHES,"AVG SEC PER TOUCH","PASSES MADE","AST TO PASS% ADJ",DIST. MILES,AVG SPEED OFF,AVG SPEED DEF,"PAINT TOUCHES",FGA < 8 ft,FGA 8-16 ft,FGA 16-24 ft,FGA > 24 ft
Atlanta Hawks,396.3,3.24,274.1,10.9,17.76,4.44,3.83,25.2,34,12.5,15.5,34.5
Boston Celtics,406.8,3.07,284.7,9.8,17.75,4.44,3.82,22.9,32,13,9.5,45
Brooklyn Nets,397.8,3.05,277.3,11.7,17.45,4.48,3.69,21.1,30.5,13.5,7,35
Charlotte Hornets,426.6,2.85,304.8,10.9,18.43,4.7,3.93,23.9,51,10,6.5,31.5
Chicago Bulls,412.8,3.06,291,11.2,18.28,4.6,3.94,22.7,39,14,7.7,25.7
Cleveland Cavaliers,424.3,3.04,303.1,9.7,17.84,4.42,3.89,27.5,34.3,14,8.3,32
Dallas Mavericks,392.1,3.24,274.9,10,17.51,4.43,3.86,19.8,27.5,13,9,42
Denver Nuggets,416.4,3.06,295.3,11.1,17.71,4.4,3.87,25.8,33.5,8.5,8,34
Detroit Pistons,407.5,3.17,287.2,9.9,18.07,4.54,3.93,22.1,47.5,8.5,5,28
Golden State Warriors,428.9,2.73,307.5,11.1,18.01,4.67,3.87,18,39,8.5,5.5,35
Houston Rockets,398.1,3.06,277.1,10.2,17.32,4.39,3.84,19.3,47.5,5,3.5,34.5
Indiana Pacers,431.3,2.82,307.6,10.8,18.84,4.8,3.94,22.1,34.3,12,8.3,40
LA Clippers,398.9,3.15,281,10.6,17.31,4.34,3.83,21,35.5,14,8.5,39
Los Angeles Lakers,424.8,2.98,303.4,10.2,17.54,4.24,3.88,22.2,30,11,11.5,37.5
Memphis Grizzlies,401.1,3.03,279.1,11.5,18.09,4.57,3.97,25.1,44.5,12,4,34.5
Miami Heat,403.2,3.11,285.2,11.1,18.16,4.59,3.89,22.8,36,17,6.5,34
Milwaukee Bucks,380.1,3.13,254.8,11.8,18.1,4.68,3.82,23.7,30.3,12,7.7,40.7
Minnesota Timberwolves,420.9,2.97,295.6,10.6,18.35,4.63,3.89,21.9,42.5,6,5.5,37.5
New Orleans Pelicans,416.3,2.96,291.6,11,18.36,4.68,3.89,24.9,35,14.3,8,32
New York Knicks,394.4,3.29,276.2,9.1,17.99,4.47,3.94,19,31,6.5,10,49
Oklahoma City Thunder,408.8,3.05,286.1,9.3,18.1,4.67,3.87,20.2,32.5,13.5,6,39
Orlando Magic,392.2,3.29,269.5,9.8,18.14,4.56,3.94,20.1,33.5,8.5,6.5,36
Philadelphia 76ers,430.7,2.94,308,9.5,18.02,4.48,3.9,19.3,29.5,20,8,29.5
Phoenix Suns,402.6,3.09,284.2,11.6,17.79,4.53,3.8,24.3,34,15.7,5.3,32.3
Portland Trail Blazers,364.6,3.5,244.6,10.3,17.05,4.31,3.8,17.4,36.5,10,4.5,42.5
Sacramento Kings,399.4,3.07,279.5,10.8,18.01,4.59,3.94,22.2,35,18,4,38.5
San Antonio Spurs,380.7,3.3,262.4,10.9,18.13,4.57,3.96,18.7,40,15.3,7.3,30.7
Toronto Raptors,412.3,2.98,291.4,10.1,18.19,4.61,3.87,20,40.7,9.7,8.7,34.3
Utah Jazz,411.2,2.99,289.4,10.2,17.98,4.6,3.84,20.7,34.5,10,1.5,44.5
Washington Wizards,391.8,3.05,267.5,11.7,18.03,4.67,3.87,24.8,35.5,14,5.5,32.5